reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2T0RJ91B0PQ03,B0016CRVLW,Gerald DeWitt,"[0, 0]",Beware!  This is NOT the original single version of this beautiful song - it is a vastly inferior alternate take.  Abkco strikes again!,1.0,Poor Quality Alternate Take,1400630400.0,"05 21, 2014"
A3TYW0XA8HSGWB,B00EKR5S0Q,Linda E. Larson,"[0, 0]",This is my new most favorite k-cup coffee. I can't wait for my first whiff and then taste! It is so mellow and you can actually taste the vanilla!,5.0,Vanilla Starbucks K-cups,1398556800.0,"04 27, 2014"
A2CME0TQU2IVVB,B001AUPJVO,L5Momma,"[1, 1]",This headset is great!  It worked in our 2007 Yukon XL immediately!  It works even better than the headsets that we got with the vehicle.,5.0,Awesome!,1355875200.0,"12 19, 2012"
A2E5IDLX7R388S,B000055Y57,Jeff Andersen,"[0, 0]","Scofield is one of my favorite musicians and initially this album did not wow me. It is a Jazz quintet line up of Alto sax, guitar, piano, bass, and drums. It sounds like it was all recorded live, no studio tricks here. The more I listened to it the more it grew on me. There is a great relaxed vibe to the whole album. This group extracts the tastiest moments from the music. This is not Uberjam but if you are a true Jazz head your love it.",5.0,Straight ahead Jazz with the Scofield twist,1402358400.0,"06 10, 2014"
A3CIEMYUGV6ZMR,0545265355,Adroit,"[0, 0]","Wonderful book! I cried, well teared up at a few parts of the book. Excellent read due to its combination of sci-fi and reality. Grabs your attention quickly and then you just have to finish to book. I'd recommend it to anyone.P.S. The movie doesnt do it justice so if you saw it and liked it, the book is a MILLION times better!",5.0,Greatest Book Ever!!!,1334102400.0,"04 11, 2012"
A28DHX9DX3YCB6,0445203722,Sandra Tibbetts,"[1, 1]",I couldn't put the book down.  I felt I knew the characters personally.  I loved how the author weaved the history throughout the story.  I loved the book!,5.0,Wonderful reaing,1361145600.0,"02 18, 2013"
AA7P2NEC94K79,B0062P7ISY,J. Pappan,"[3, 3]","I had a really good run with my free home phone using the ObiTalk and Google Voice... almost three years of 100% free, reliable service. That all ends on May 15, 2014, when Google announced it will stop supporting the XMPP protocol, which is used by the ObiTalk devices. It couldn't last forever, I think I knew that.The next cheapest alternative I found was the MagicJack. They advertisement $19.95 a year, but in reality, it's $29.95 a year. If you want $19.95, you have to sign up for five years, which I wasn't about to do based on the not-so-great reviews and uncertainty of the service. With this purchase on Amazon, you get six months free, which is a great way to test the waters.Here's how my four star experience went: (skip to the bottom to get the short version)- I purchased the product through Amazon, it arrived quickly in a fairly small but irritating package which had to be cut out completely like a children's toy in Wal-Mart. No big deal.- I briefly read some instructions, which weren't great. Essentially, I just plugged in the device to a USB port on my iMac (yes, I'm using OS X 10.9) and plugged in the ethernet cable from my router (both cables are supplied by MJ). My plan was to run the MJ by itself, not dependent on a computer. If you plan to do this, you must still start by plugging it into your computer.- Nothing happened on plugging it in. Upon going to the MJ website, I discovered that every link I clicked resulted in a page not found 404 error. Great, the entire website was down. After an hour I went to bed. Not a great start.- Next morning, the website was up. I eventually found the Mac software by going to magicjack.com and then going to the FAQ. The MJ website is set up to attract new customers, not to support existing customers. I found the Mac software and installed, but it failed to find the MJ device. So I started my computer in Windows mode, and found the Windows driver package. I installed the package, and it too did not work.- So I went back to Mac OS, and this time I found a driver package labeled ""2014 magicJack PLUS"" under Mac downloads. After installing this and running the application, everything started to work. It walked me through setting up my device and selecting a phone number. I chose not to port my old number because I simply don't care about it. I also know that it's not just $10 to port, but the reviews indicate it's a huge hassle, and there's a $10 fee every year, not just during setup.- I did elect the $3 to pick my own number from a long list. About 5 minutes later my MagicJack was good to go. I unplugged it from my computer and plugged the USB cable into the supplied power adapter. My MJ runs completely on its own, 24/7. I use the phone several hours a day for work, and I've yet to have an interruption. No one complains of delays, like some other VOIP services.At this point, if this continues, I will lock in for 5 years to get the $19.99/yr plan.Short version:This is an incredibly cheap landline solution for the cost. Customer support is not good. They are set up to attract new customers, not keep current ones. Don't port a number, unless you can't live without it - you get charged $10/yr forever for this service. Expect to use some trial/error getting it up and running. Expect to hunt around on a few different websites for drivers/answers. If you can deal with this, go for it. Once I got through the pain of getting my number set up, I have been loving the MJ.Don't forget you can take this thing on the road with you, and your number travels along.  You just need an ethernet port, power adapter and your phone.Something else to remember - it isn't easy getting the MJ to service every phone jack in your house. You can do it, but you need to know what you're doing (like, digging around in the phone box on the side of your house, beware). Out of the box, this will only provide service for ONE phone. In my case, I have it plugged into my portable phone base, and I have several other portables around the house that depend on the base and don't plug into any wall jacks. This is probably the best way to go.",4.0,Replaced my free ObiTalk/Google Voice phone with this,1399507200.0,"05 8, 2014"
A1V9FUYKE5F0XE,1861004877,"James D. Christopher ""nerd""","[3, 3]","The coverage of C# syntax and structure is adequate, but there are already decent C# language references available (some of them free for the taking).  The book's coverage of .NET architecture is rather opaque and not really useful beyond trivia.  The updated and new technologies that glob-on to the .NET platform, like the new editions of ASP and ADO, Web- and Win-Forms, etc., are not discussed to a depth that proves useful when you crack open your editor and start writing code.Taking all of that into consideration, I can only surmise that this book is targeted at people with no programming experience who want a glossy overview of C# and .NET.  There is very little, if anything, here for those with any level of programming experience in C++, VB, Java, or even jscript.",3.0,Content adequate for beginners - but the book is off-target,988329600.0,"04 27, 2001"
A2DUBLG4FSC5AD,B0064S7NBQ,Alisha,"[0, 0]","I purchased this to protect my HTC Amaze. It worked for a while but it stretched out and my phone would fall out. Also, the screen protector was missing when I received the package.",2.0,eeehhh,1378944000.0,"09 12, 2013"
A1Q0VDVIQE7OVQ,B000SP02P0,Susan Vt,"[0, 0]","This roll-out shelf makes storage under my kitchen sink so much more practical. Since I can slide out the shelves, items at the back of the cabinet are just as convenient as those at the front. No more pulling everything out looking for that small item that fell to the back! Or buying another cleaning agent because I didn't know I already had it!This unit was very simple to configure and install.  But be sure to place the shelf on the frame before mounting the frame. The instructional diagram indicated that you needed at least 2&#34; from the edge of the door frame. You need more than that for the shelf to glide out the door opening.",5.0,Makes much better use of my kitchen sink cabinet!,1366848000.0,"04 25, 2013"
A7EUH2OZFZ4JU,0439023513,"M. Dismukes ""mere4au""","[0, 0]",Great ending to a great series! If only there was another book to fill the void of this one being over.,5.0,great ending to a great series,1400371200.0,"05 18, 2014"
